epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1032,0.69104,1.44614,1.02281,0.99955,1,0.995,0.90049,0.47202,0.51726,0.89305,0.000554362,0.000554362,0.000554362
2,108.759,0.5781,0.72372,0.94948,0.99923,1,0.995,0.90004,0.43714,0.42539,0.86824,0.00109904,0.00109904,0.00109904
3,146.599,0.57951,0.56442,0.94035,0.99918,1,0.995,0.92844,0.39777,0.3957,0.8587,0.00163271,0.00163271,0.00163271
4,199.79,0.55331,0.47108,0.92735,0.99942,1,0.995,0.89861,0.46867,0.29048,0.90695,0.00161749,0.00161749,0.00161749
5,240.407,0.50596,0.40269,0.9058,0.99963,1,0.995,0.91409,0.38663,0.26944,0.84935,0.00160099,0.00160099,0.00160099
6,278.188,0.49613,0.36478,0.90197,0.99957,1,0.995,0.9391,0.34474,0.24237,0.83805,0.00158448,0.00158448,0.00158448
7,322.107,0.46303,0.33596,0.89273,0.99957,1,0.995,0.93522,0.37565,0.24749,0.84634,0.00156798,0.00156798,0.00156798
8,362.19,0.46011,0.32969,0.89228,0.99949,1,0.995,0.95208,0.3432,0.2081,0.84107,0.00155148,0.00155148,0.00155148
9,407.582,0.43723,0.31141,0.88224,0.99952,1,0.995,0.92332,0.39637,0.23028,0.85687,0.00153497,0.00153497,0.00153497
10,450.203,0.44057,0.30681,0.88205,0.99953,1,0.995,0.92442,0.41033,0.25363,0.85978,0.00151847,0.00151847,0.00151847
11,489.56,0.44083,0.29579,0.87983,0.99953,1,0.995,0.94268,0.33119,0.18968,0.83367,0.00150197,0.00150197,0.00150197
12,528.097,0.41938,0.28171,0.87833,0.99957,1,0.995,0.93895,0.32962,0.2005,0.83361,0.00148546,0.00148546,0.00148546
13,566.47,0.41858,0.28328,0.87775,0.99958,1,0.995,0.94963,0.35099,0.20522,0.83858,0.00146896,0.00146896,0.00146896
14,604.478,0.40884,0.26782,0.8755,0.99961,1,0.995,0.94679,0.33456,0.21887,0.83273,0.00145246,0.00145246,0.00145246
15,642.863,0.41628,0.27314,0.87066,0.99948,1,0.995,0.95568,0.31251,0.18813,0.82968,0.00143595,0.00143595,0.00143595
16,681.575,0.40315,0.26775,0.86798,0.9995,1,0.995,0.95024,0.31103,0.17845,0.82554,0.00141945,0.00141945,0.00141945
17,723.245,0.39341,0.26116,0.87092,0.99962,1,0.995,0.93752,0.3378,0.2033,0.83355,0.00140295,0.00140295,0.00140295
18,763.53,0.39945,0.26472,0.87114,0.99961,1,0.995,0.95182,0.31704,0.19905,0.83027,0.00138644,0.00138644,0.00138644
19,804.134,0.41182,0.26703,0.86942,0.99959,1,0.995,0.95478,0.32308,0.18972,0.83154,0.00136994,0.00136994,0.00136994
20,845.231,0.39737,0.25911,0.86951,0.99955,1,0.995,0.95652,0.31311,0.16925,0.82644,0.00135344,0.00135344,0.00135344
21,886.885,0.39069,0.25751,0.86836,0.9996,1,0.995,0.96052,0.30984,0.19827,0.8269,0.00133693,0.00133693,0.00133693
22,934.844,0.3764,0.24369,0.86285,0.99959,1,0.995,0.94807,0.32996,0.20284,0.83037,0.00132043,0.00132043,0.00132043
23,973.942,0.39079,0.25108,0.87069,0.9998,1,0.995,0.96428,0.29571,0.15721,0.82436,0.00130393,0.00130393,0.00130393
24,1012.92,0.3854,0.24841,0.86736,0.99962,1,0.995,0.95122,0.32029,0.17224,0.82749,0.00128742,0.00128742,0.00128742
25,1051.52,0.37032,0.23743,0.86384,0.99958,1,0.995,0.96494,0.29569,0.15762,0.82278,0.00127092,0.00127092,0.00127092
26,1089.51,0.37502,0.23544,0.866,0.99961,1,0.995,0.95986,0.30074,0.16284,0.82329,0.00125442,0.00125442,0.00125442
27,1128.49,0.36566,0.23163,0.85642,0.99958,1,0.995,0.96014,0.29964,0.16959,0.82394,0.00123791,0.00123791,0.00123791
28,1175.58,0.37147,0.23506,0.86037,0.99961,1,0.995,0.96232,0.29794,0.16444,0.82501,0.00122141,0.00122141,0.00122141
29,1213.53,0.36937,0.23072,0.86342,0.9998,1,0.995,0.95738,0.30679,0.15875,0.82378,0.00120491,0.00120491,0.00120491
30,1250.79,0.35878,0.22073,0.85967,0.99956,1,0.995,0.97043,0.30632,0.17302,0.82774,0.0011884,0.0011884,0.0011884
31,1297.61,0.36751,0.2303,0.86132,0.99975,1,0.995,0.96478,0.29465,0.16911,0.82481,0.0011719,0.0011719,0.0011719
