epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4054,0.75016,0.87731,1.08925,0.97456,0.93,0.98418,0.87151,0.54362,1.34129,0.92776,0.000552417,0.000552417,0.000552417
2,123.504,0.69726,0.55651,0.99707,0.54981,0.45033,0.05623,0.01571,nan,nan,nan,0.00110443,0.00110443,0.00110443
3,178.371,0.66789,0.51224,0.97473,0.583,0.72832,0.69339,0.57804,0.65856,2.17109,1.00386,0.00165277,0.00165277,0.00165277
4,232.201,0.61546,0.463,0.94663,0.99829,1,0.995,0.91505,0.43769,0.45449,0.87476,0.0016505,0.0016505,0.0016505
5,282.061,0.56778,0.39388,0.92717,0.99942,1,0.995,0.93392,0.35851,0.29369,0.84349,0.001645,0.001645,0.001645
6,332.995,0.54245,0.40088,0.92186,0.99948,1,0.995,0.9372,0.36224,0.2314,0.84513,0.00163949,0.00163949,0.00163949
7,385.356,0.516,0.35187,0.91077,0.99939,1,0.995,0.94079,0.3608,0.23732,0.84841,0.00163399,0.00163399,0.00163399
8,434.723,0.49049,0.33471,0.89507,0.99899,1,0.995,0.92869,0.36351,0.24429,0.84661,0.00162849,0.00162849,0.00162849
9,486.781,0.49484,0.33267,0.89578,0.99949,1,0.995,0.92799,0.36305,0.2191,0.84663,0.00162299,0.00162299,0.00162299
10,532.633,0.46446,0.30761,0.88823,0.9996,1,0.995,0.93665,0.34271,0.22866,0.83863,0.00161749,0.00161749,0.00161749
11,578.389,0.45663,0.30894,0.8869,0.9996,1,0.995,0.94422,0.34087,0.20408,0.83989,0.00161199,0.00161199,0.00161199
12,625.067,0.46454,0.32026,0.88946,0.99956,1,0.995,0.93568,0.34006,0.21693,0.83682,0.00160649,0.00160649,0.00160649
13,671.886,0.45579,0.30633,0.88835,0.99957,1,0.995,0.9425,0.35089,0.21916,0.83955,0.00160099,0.00160099,0.00160099
14,718.836,0.44826,0.30688,0.88812,0.99897,1,0.995,0.94609,0.32422,0.24783,0.83644,0.00159549,0.00159549,0.00159549
15,765.108,0.43742,0.28652,0.87811,0.99953,1,0.995,0.93042,0.36126,0.21465,0.84002,0.00158998,0.00158998,0.00158998
16,812.204,0.4355,0.28385,0.88281,0.99951,1,0.995,0.94209,0.33418,0.19625,0.83734,0.00158448,0.00158448,0.00158448
17,858.426,0.41997,0.27679,0.87358,0.99954,1,0.995,0.95342,0.31586,0.20749,0.8307,0.00157898,0.00157898,0.00157898
18,906.264,0.43146,0.28382,0.87716,0.99955,1,0.995,0.95576,0.31412,0.17446,0.82963,0.00157348,0.00157348,0.00157348
19,952.376,0.42177,0.27416,0.87846,0.99958,1,0.995,0.96093,0.29645,0.16741,0.82682,0.00156798,0.00156798,0.00156798
20,999.975,0.41693,0.26698,0.87301,0.99979,1,0.995,0.94277,0.34435,0.18593,0.83899,0.00156248,0.00156248,0.00156248
21,1045.97,0.40917,0.25881,0.86952,0.99959,1,0.995,0.95634,0.30432,0.17056,0.82752,0.00155698,0.00155698,0.00155698
22,1092.11,0.41808,0.26311,0.87614,0.99957,1,0.995,0.95074,0.30701,0.17244,0.82628,0.00155148,0.00155148,0.00155148
23,1139.22,0.4053,0.25871,0.87233,0.99943,1,0.995,0.95889,0.31237,0.18759,0.82891,0.00154598,0.00154598,0.00154598
24,1185.67,0.41058,0.26708,0.87123,0.99957,1,0.995,0.94933,0.33967,0.18854,0.83941,0.00154047,0.00154047,0.00154047
25,1232.1,0.4092,0.26436,0.87079,0.9996,1,0.995,0.94764,0.3156,0.17356,0.8301,0.00153497,0.00153497,0.00153497
26,1279.07,0.41401,0.25621,0.87105,0.99959,1,0.995,0.94418,0.3152,0.16948,0.83042,0.00152947,0.00152947,0.00152947
27,1325.1,0.39375,0.24907,0.8667,0.99953,1,0.995,0.96165,0.31235,0.19588,0.82812,0.00152397,0.00152397,0.00152397
28,1372.21,0.39356,0.25207,0.86394,0.99982,1,0.995,0.95099,0.32634,0.18584,0.8321,0.00151847,0.00151847,0.00151847
29,1419.27,0.39383,0.24385,0.87397,0.99955,1,0.995,0.95799,0.3088,0.16311,0.82805,0.00151297,0.00151297,0.00151297
30,1467,0.38932,0.25011,0.86997,0.99979,1,0.995,0.95618,0.2918,0.16422,0.82429,0.00150747,0.00150747,0.00150747
31,1514.03,0.38557,0.24933,0.86415,0.9996,1,0.995,0.94668,0.3285,0.21795,0.83626,0.00150197,0.00150197,0.00150197
32,1561.3,0.37923,0.24232,0.86221,0.99978,1,0.995,0.95974,0.2919,0.17468,0.82586,0.00149647,0.00149647,0.00149647
33,1609.2,0.37771,0.23952,0.86193,0.99954,1,0.995,0.95088,0.30516,0.17458,0.82755,0.00149096,0.00149096,0.00149096
34,1656.46,0.37945,0.24037,0.86067,0.99956,1,0.995,0.9566,0.31112,0.16693,0.82687,0.00148546,0.00148546,0.00148546
35,1703.72,0.37187,0.2344,0.86069,0.99962,1,0.995,0.96689,0.28219,0.15686,0.82211,0.00147996,0.00147996,0.00147996
36,1751,0.38362,0.24125,0.86347,0.99982,1,0.995,0.96191,0.29109,0.16708,0.82403,0.00147446,0.00147446,0.00147446
37,1798.14,0.3898,0.24066,0.866,0.99957,1,0.995,0.95084,0.32373,0.15887,0.83106,0.00146896,0.00146896,0.00146896
38,1845.86,0.3816,0.23757,0.86238,0.99963,1,0.995,0.9641,0.29663,0.19088,0.82662,0.00146346,0.00146346,0.00146346
